ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
988,Louvre, Society of Nat. Sciences C 12849. , ,Diam. 27-3,PLATE 155c ,"bands with a touch of white at the top, giving something of the effect of a capital (as on nos. 129 and 132), and on the reverse between two of the standard framing palmettes. The handle-zone on the obverse is decorated with a band of meanders and chequers (cf. the reverses of nos. 125-7), on the reverse a saltire square with triangles in the intersections replaces the chequer. The scene on the obverse represents maenads and silens disposed at different levels in the manner favoured by Asteas, though perhaps slightly less symmetrically than usual. The upper register shows the body of a bearded silen, his legs cut off behind a white ground line; he has a fawn-skin wrapped round his left arm, and holds a thyrsus and a wreath. Both he and his counterpart on the lower level are typical of the bearded silen as painted by Asteas (cf. no. 46 and the reverse of no. 129; also nos. 137-8), and the female bust finds good parallels on the reverses of nos. 128, 132 and 133. The three draped women all have dot-stripes down their drapery, or as borders to it, and the drawing of their faces should be compared with that of the Hesperides on no. 135. Both the youths on the reverse, rather exceptionally for Asteas, have dot-stripe borders to their himatia (cf. nos. 139 a, 164, 177, 181, 183 below); the stance of the youth to left is a variant of Al, in which the body is more or less frontal as in A3c, but with a "
989,Leiden,277. ,Ht. 33, , ,
990,Vienna,24 (inv. 17972). ,Ht. 22, ,PLATE 156a ,"comparing the female figure and the silens with those on nos. 1 /62-4 and 68, and this once again illustrates the relationship between the early work of Asteas and the Sicilian forerunners. The second calyx-krater (no. 137) is of particular interest for the subject of its obverse and for the close relationship between its reverse and that of the signed "
991,Louvre,258. ,Ht. 26, ,PLATE 156 b ,"work. The obverse shows a very typical Dionysos, the lower part of his body covered with a piece of dot-stripe bordered drapery, seated on an enclosed fan-palmette in added white (cf. nos. 37, 50, 55, 62 above); to left is a bearded silen, as on the preceding vase (cf. also nos. 175 and 184 below), to right a maenad wearing a peplos with a dot-stripe running vertically down it, but, as frequently, shifting slightly to the right on the lower portion; over it is a dappled fawn-skin. She finds counterparts on nos. 70-73 and 78, and indeed is another very characteristic stock figure in the Asteas repertory. Above is suspended a white-fleshed comic female mask (Type SS), very similar to those on no. 125. The reverse shows a nude Dionysos facing a young "
992,Naples,4696. ,Ht. 26, ,PLATE 156 c ,"'Asteas flower', and to right a simple palmette-scroll exactly as on no. 125 and on earlier vases like nos. 20 and 22. Both these kraters must therefore be comparatively early and would seem to be "
993,Vienna, Duke of Palmella. ,Ht. 25, , ,
994,Turin,2949. ,Ht. 21, , ,"registers; both contain the usual stock figures and the scenes are framed between reserved bands, with superposed palmette-fans below the handles, flanked below by framing palmettes of standard design, except for the one to right of the reverse, which is of the simpler form without the fans. The busts are close to those on the "
995,Vienna,527. ,Ht. 16, ,PLATE 156a,
996,Melbourne,3148. ,Ht. 11, ,PLATE 156c ,"across which a fawn-skin is draped, appears on other vases by Asteas—e.g. no. 50 and the reverse of no. 129, also on no. 171, together with a suspended female mask. Of the last vase in this sub-division (no. 139) only some joining fragments of the reverse remain; they depict a scene very similar to that on the reverse of the skyphos—a nude youth stands, here facing left instead of right, between two draped women; above are two female busts, of which the fingers of the one to right rest on the ground line behind which the lower part of her body is concealed, exactly as on "
997,Moscow,718. , , , ,"elaborate composition on its reverse, the missing obverse may well have depicted a mythological scene, but of it no trace has yet been found. (*) "
998,Once Deepdene,946 (inv. 82652). ,Ht. 26, ,PLATE 156/ ,"San Antonio, which came to my notice only after this chapter had been written and "
999,Once Berlin Market,325. ,Ht. 26, , ,Picon. Calyx-krater 
1000,Naples,1960,Ht. 22, , ,"[a) Papposilen bending slightly forward, holding out a white fillet to seated half-draped Dionysos, who holds a phiale and a wreath in his 1. hand; above, top left, bust of woman, [b) two draped youths. In shape this vase is close to nos. 136-7, with only a single black relief band round the stem above the foot, and without reserved stripes on either side of it (as on no. 137); the decoration on the obverse handle-zone consists of a saltire square (cf. "
1001,Paestum,478. ,Ht. 23, , ,"other side, of reverse wave (cf. no 181, where the foot is more elaborate and body shorter). There is nothing by way of a frame to the pictures on either side (in contrast to no. 136), nor any palmette scrolls, as on no. 137. On the obverse, a papposilen, whose body is covered with small tufts of white hair, and who has a piece of drapery with a chequer and ray-pattern border (cf. "
1002,Hamburg,315. ,Ht. 21, , ,"rests upon a stick, leans forward to offer a white fillet to Dionysos, who is seated upon an eminence decorated with white dot-clusters (cf. nos. 25, 28, 178), beside which is a small table on which are three eggs (cf. nos. 8, 61, 137, 175). The lower part of his body is covered by a cloak with a dot-stripe border; the fold-lines on it, especially in "
1003,Salerno,828 (inv. 81889). ,Ht. 8., , ,
1004,Paestum,287. ,Ht. 58, ,"PLATE 157 a, b ",
1005,Paestum,4729. ,Ht. 40, ,PLATE 157c-e ,"it can easily be found (e.g. on nos. 8 and 50 or 65, 175, 179). For the papposilen we "
1006,Paestum,724. ,Ht. 32, , ,
1007,Budapest, Graham Geddes coll. P 5,Ht. 51, ,PLATE 158 ,"on all those he wears a skin across his body. On no. 152 the rendering of the body, with its tufts of white hair, the drawing of the face, with a touch of white in the eye and the snub nose, as well as the red-brown slippers with a band of white at the top, "
1008,Paestum,735. ,Ht. 40, , ,"Dionysos is comparable to those on nos. 8 (a somewhat earlier version of the same subject), 23, 50 and 55, with nos. 175 and 179 providing slightly later examples. The female bust, which appears in the top left corner, is near, as regards the drapery, head-dress and facial features, to the women on the hydria no. 29, the pelike "
1009,Madrid, Hope coll. 281. ,Ht. 39, , ,
1010,Paestum, Bassenge,Ht. 35, ,"PLATE 160a,* ","dots. The obverse, therefore, supports an attribution of the vase to Asteas, probably "
1011,Paestum,1779 (inv. 81731),Ht. 36, , ,"signed vases. The reverse raises several problems, in regard both to the poses and the drapery of the two youths. The youth to left stands in an unusual pose for Paestan; his head is in profile to right, his body is almost fully frontal, with the himation so draped across it as to expose the right arm and shoulder, but to cover the left. The left arm is bent to produce a sort of 'sleeve' drape, and the hand beneath holds a white stick, which "
1012,Paestum, from S. Venera (31.5.1976),Ht. 35, ,"PLATE 160 c, d ","where the two edges meet below the left arm, the dot-stripes run down in parallel lines. The other youth is of Type A2r; he holds a white fillet in his exposed right hand; the left, concealed beneath the 'sleeve' over the arm, held a stick like his companion's. The edge of his 'sleeve' has no defined border, but below it two dot-stripes run down as on the cloak of the other youth, though here the border at the bottom ends in a wavy line with a swirling double curve. No extant vase provides an exact parallel for these two, though they should be compared in general terms with "
1013,Paestum, Termer coll. ,Ht. 36, , ,"rendering of their heads nos. 60, 63 and 64 provide good parallels. The use of dot-stripe borders on the cloaks of both youths is less common with Asteas than with "
1014,Paestum, Soprintendenza,Ht. 35, ,"PLATE 161 a, A ","can be found on some of the kraters assigned to the 'Altavilla Group', especially nos. 230 and 234. The reverse, however, looks to me more in the style of Asteas than Python; this is certainly true, as we have already seen, of the obverse, and it therefore seems reasonable to place this vase, along with those which it most closely resembles, into the second phase of that painter's career, when some of his earlier mannerisms still linger, and when Python's work is still extremely close to his. It is perhaps not without significance that nos. 177 and 181 were originally assigned to the latter artist but have now, in the light of new evidence, been transferred to Asteas. (ii) Mythological The vases in this division all depict mythological scenes, comparable to those on nos. "
